country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","29-08-2025 13:00:00",26.960669,75.771817,PM2.5,12,48,25
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","29-08-2025 13:00:00",26.960669,75.771817,PM10,18,73,38
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","29-08-2025 13:00:00",26.9502929,75.730943,NO2,14,41,26
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB","29-08-2025 13:00:00",26.912329,70.909168,NO2,2,16,7
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","29-08-2025 13:00:00",29.610750,74.283608,SO2,3,4,4
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","29-08-2025 13:00:00",26.902909,75.836858,NO2,25,64,45
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","29-08-2025 13:00:00",26.843698,75.766894,PM10,21,81,40
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","29-08-2025 13:00:00",26.9164092,75.7994901,NO2,78,102,94
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","29-08-2025 13:00:00",26.9164092,75.7994901,CO,32,92,64
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB","29-08-2025 13:00:00",25.344694,72.626208,NO2,2,34,11
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","29-08-2025 13:00:00",24.588397,76.172782,PM2.5,17,76,29
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","29-08-2025 13:00:00",24.588397,76.172782,PM10,16,55,28
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","29-08-2025 13:00:00",24.588397,76.172782,NH3,2,3,3
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","29-08-2025 13:00:00",26.268249,73.0193853,PM2.5,20,181,88
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","29-08-2025 13:00:00",26.268249,73.0193853,OZONE,8,17,14
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","29-08-2025 13:00:00",26.215415,73.070156,NO2,4,13,7
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","29-08-2025 13:00:00",26.358805,73.047444,NH3,1,9,3
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","29-08-2025 13:00:00",26.358805,73.047444,SO2,2,3,3
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","29-08-2025 13:00:00",26.358805,73.047444,CO,16,36,19
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","29-08-2025 13:00:00",26.358805,73.047444,OZONE,7,41,18
